condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
011011,1,0.5158221303862263,0.0,0.0,5,11,2650.0,40.99488
0101##,0,0.6925238655137561,0.0,0.0,19,50,2995.0,46.93634591594706
110110,1,0.7094585672425581,0.0,0.0,6,11,2776.0,27.0245632
000#10,1,0.9133514146538053,0.0,0.0,8,29,2919.0,27.491935468154285
01#00#,1,0.818272585060176,0.0,0.0,33,53,2926.0,50.375267844572264
11##00,1,0.9217473422027997,0.0,0.0,28,36,2802.0,30.706441946335474
1###11,0,0.718332844537703,0.0,0.0,39,75,2981.0,62.03554062024982
1##100,1,0.10074830128017448,0.0,0.0,3,37,2969.0,34.36740714242866
1###0#,0,0.005323721575366636,688.0465099148952,325.9778983932068,6,383,2997.0,26.324522697608238
0#000#,1,0.06413645390253556,0.0,0.0,2,37,2917.0,44.30783000229538
#00#0#,1,0.7878392877619182,0.0,0.0,27,58,2902.0,49.20568864200416
#01#11,0,0.2655481178228751,0.0,0.0,10,39,2981.0,58.262985191902224
0#1#01,1,0.0019191922023487579,804.5592922422239,299.39123424713495,1,77,2999.0,50.542945241876154
####00,0,0.47392555151365306,839.9387237302415,160.4905683242248,8,293,2977.0,30.258657230572126
10##0#,1,0.8125099956110647,0.0,0.0,23,56,2969.0,38.667564735013514
#0##01,0,0.12809866163272327,915.1709038118914,143.39287943215524,7,151,2979.0,32.89472490765669
10##10,0,0.7829432812838,0.0,0.0,9,32,2944.0,22.935448498901717
001###,0,0.8521115809409693,0.0,0.0,31,51,2949.0,49.203792618083966
11###1,0,0.47544065942138525,0.0,0.0,10,54,2997.0,48.63636459152893
1##1#0,0,0.0038824113240803794,841.0168387564567,238.7840783443025,1,104,2985.0,20.305758154146975
110#10,1,0.12158709146822635,0.0,0.0,1,6,2776.0,28.240000000000002
1#0##0,0,0.053805011044159405,972.8388977987772,84.34141770844246,3,82,2978.0,23.987925313347418
11##10,1,0.17430924640323114,0.0,0.0,1,8,2776.0,37.564800000000005
001###,1,0.9793249359476984,1000.0,0.0,52,86,2999.0,61.36863156874567
0#110#,0,0.24152065490868113,0.0,0.0,5,16,2844.0,37.957539139584
#1#0#0,1,0.6268355569566681,0.0,0.0,25,28,2986.0,43.28752788707715
01#01#,1,0.2505261850049507,0.0,0.0,6,19,2986.0,36.79878281019392
#1#1#1,0,0.4952929761886185,0.0,0.0,24,38,2995.0,60.64172801282971
#1#010,0,0.8413633009659454,1000.0,0.0,15,39,2978.0,22.181416499281305
0#1100,0,0.19930361721179754,0.0,0.0,2,6,2679.0,30.32
1###1#,1,0.7614470097876551,799.9184785307532,160.6050093530885,21,129,2973.0,38.01647134039973
01#1##,1,0.9737574055662491,1000.0,0.0,31,75,2965.0,36.754947328513154
#01#01,1,0.0014234206518975968,600.2431940480204,395.7858661176443,1,21,2999.0,48.94519798836625
1111#0,0,0.8997746747498963,1000.0,0.0,12,26,2985.0,19.589781953721115
1###10,0,0.0011030057720593479,893.7727295890616,206.29228884848234,1,53,2985.0,18.596833200452195
01##01,0,0.33126001314125386,958.0569600000001,92.27468799999994,1,19,2951.0,18.707549341679616
0001##,1,0.2761713456070103,0.0,0.0,1,5,2748.0,24.2
#000##,0,0.008085696998022435,992.4689311919943,33.14085541758777,2,40,2972.0,30.821224892410726
01111#,0,0.118608931218986,0.0,0.0,2,4,2952.0,25.75
01#011,1,0.09683139154102949,0.0,0.0,1,4,2897.0,44.5
10#1#1,0,0.007097657979854337,887.4669008384164,178.9384370562269,2,22,2979.0,26.335392641948584
10##1#,0,0.13531895048397607,0.0,0.0,2,16,2981.0,34.155328524288
##100#,0,0.08958277243476157,849.2934144000001,254.88785407999995,9,32,2949.0,28.271405355341148
010###,0,0.003445505646424827,669.4305120963788,331.7894458211916,1,21,2995.0,29.31488293160878
#1#11#,0,0.0020049955820611075,521.7882634739833,404.9863621865021,1,33,2995.0,34.61357050452099
01##01,1,0.004588018471617642,546.7776,412.4125866666667,1,11,2965.0,41.764864
##0#10,1,0.0005372557484680347,528.6175012574682,398.0878823395526,1,25,2986.0,35.243264131676796
00#010,0,0.08952052088622539,1000.0,0.0,1,3,2815.0,18.333333333333332
000###,0,0.901447315953674,1000.0,0.0,28,32,2972.0,34.00705749768742
###1#1,1,0.002179887311395923,925.1246303144774,176.2996997920234,1,59,2999.0,40.367985203061515
10#1##,0,0.0028273517078272466,686.304019518587,381.30085146394623,1,24,2979.0,23.945289950232493
#11#0#,0,0.00039981127402304137,768.4417221093732,342.4000967900964,1,25,2954.0,28.639499900254783
0#1#0#,0,0.014775143248416483,773.73696,306.675712,1,12,2949.0,27.74571264
#1#1##,0,0.00187643278483324,418.0258550870891,407.37558714059287,1,38,2995.0,38.44428525472155
1#0##1,1,0.02803025991192789,947.0618437222399,125.26003683328,3,20,2973.0,33.72907832445502
##011#,0,0.0031822976215514828,522.202143916032,431.8867288402603,1,19,2995.0,42.43658868552499
1#0###,0,0.003073477462929851,599.8195390854293,370.89735301918427,2,48,2997.0,31.911288729739557
00#1##,0,0.004682628363225259,778.52516352,211.53960755199995,1,18,2946.0,36.66113475526656
01#1##,0,0.1042906430667234,0.0,0.0,1,5,2995.0,36.2
01##0#,0,0.024451096943590933,806.4455680000001,243.32683946666663,2,13,2977.0,22.924327936
011#01,0,0.011350622859713107,800.0,256.66666666666663,1,5,2830.0,25.0
1#00##,0,0.0009248136597481452,653.8710481738137,356.37287655082116,1,21,2997.0,27.74333514759406
#0##10,0,0.005870681505023005,330.3936,381.94858666666664,1,11,2944.0,20.5300352
0#0#10,1,0.01864959274152501,435.2,375.4666666666667,1,8,2986.0,33.9696
01####,0,0.12990630782392779,655.65696,321.120256,8,22,2995.0,30.214519163685438
#1#0#1,1,0.0007591327132547023,795.1208576778239,332.7587607991638,1,19,2917.0,23.074680413847553
#01##1,1,0.004916925067089235,821.2656988159999,266.8081796437333,2,16,2999.0,45.380061376511996
#0##1#,1,0.021118808302074393,963.028921516032,109.15401684746239,6,34,2958.0,40.8457588241062
1#01#1,1,0.014355070564862571,744.0,324.26666666666665,1,7,2973.0,38.96
#00###,1,0.0019649699734583257,767.873585152,357.5733638485333,2,16,2919.0,31.999857451008
